#{"t_start": 1646494789.3622968, "env_id": "LunarLander-v2"}
r,l,t
-144.9003,100,9.053711
-437.329176,105,9.072629
-110.898936,113,9.093573
-80.07699,59,9.104543
-140.645286,65,9.114543
-274.531453,70,9.126485
-63.71112,59,9.138453
-139.028129,109,9.1584
-157.074964,90,9.172399
-154.121435,83,9.186356
-456.322023,88,9.202282
-401.084037,81,9.216245
-481.583049,93,9.232255
-213.832656,85,9.246194
-113.973671,102,9.266112
-134.967091,61,9.276086
-339.750787,87,9.291045
-86.410868,60,9.301045
-188.098722,104,9.321962
-453.008061,123,9.345899
-133.754155,94,9.360884
-105.564706,132,9.384794
-116.398413,78,9.400752
-132.666899,94,9.418703
-138.033901,75,9.43268
-359.807165,95,9.450659
-62.877366,61,9.460591
-227.888616,65,9.472559
-372.527097,118,9.499487
-403.931399,102,9.518437
-91.141642,71,9.531402
-202.119946,106,9.550351
-401.656811,50,9.713505
-533.694605,69,9.778331
-698.88306,88,9.86111
-599.372217,79,9.926934
-449.829447,77,9.985284
-971.453396,137,10.105962
-1141.100259,155,10.275508
-594.007747,121,10.393193
-1475.615209,227,10.623577
-594.209728,105,10.724308
-840.921271,149,10.862513
-552.620996,106,10.984194
-521.442036,99,11.08094
-659.515072,94,11.151878
-326.693604,84,11.222883
-454.789945,97,11.302851
-1955.619578,235,11.587883
-1081.470038,153,11.749863
-864.646525,153,11.917141
-418.375577,81,12.0059
-785.510801,172,12.19286
-654.368503,93,12.272893
-666.225473,108,12.362922
-611.323663,81,12.436858
-233.699556,150,12.559882
-608.218293,105,12.643887
-654.694459,97,12.72287
-553.25757,225,12.907848
-454.650237,187,13.075365
-298.883805,130,13.1829
-605.077805,94,13.257884
-476.553564,119,13.3449
-724.256745,102,13.428885
-344.073075,282,13.740683
-277.530576,217,13.984566
-270.710155,362,14.380455
-156.389689,1000,15.71686
-127.17193,1000,17.635871
-183.682115,1000,18.922835
-179.931955,1000,20.45283
