#{"t_start": 1646713807.1949215, "env_id": "LunarLander-v2"}
r,l,t
-20.20822,239,235.850054
-18.659457,286,236.079994
-184.981114,217,237.71873
240.132041,439,238.090924
-35.196846,292,238.335961
-7.020105,174,238.456903
-212.354388,317,238.734917
-191.342201,295,239.001293
210.291165,405,239.38558
-162.160232,317,241.263134
201.309347,696,242.1458
-56.646043,359,242.495899
154.480624,420,242.867061
8.362897,240,243.051091
-41.707074,238,244.898562
259.693626,640,245.747513
-162.091553,161,245.868546
-5.014316,176,245.992855
-191.998633,301,246.235628
179.103882,592,246.899617
221.462965,365,248.720025
-2.328582,224,248.894113
25.79057,252,249.092151
-44.352187,292,249.334998
-26.128607,320,249.62387
232.489387,353,249.939425
0.554222,230,250.118945
262.166155,300,251.880187
-13.578733,252,252.077723
-204.988238,281,252.317596
-22.590084,239,252.498149
-181.015408,304,252.759082
-28.341873,194,252.905944
-157.686693,235,253.079738
201.936896,350,254.912904
245.517872,317,255.214424
-177.138746,295,255.476601
204.745025,451,255.96334
-9.954857,287,256.200223
219.71131,764,258.490441
-199.961725,291,258.744909
-282.333733,457,259.261057
-27.973055,236,259.447622
-235.421516,265,259.668513
-182.009884,310,259.986983
-41.262401,246,260.215939
268.782528,389,262.081197
269.009601,326,262.376921
-146.977272,289,262.611585
-44.259563,231,262.789102
232.520729,393,263.136511
-66.485175,274,263.353561
207.835465,894,265.784666
284.559801,319,266.067003
-214.699374,323,266.37174
251.794765,406,266.763376
-36.167487,291,267.013396
128.531428,1000,269.533013
261.907729,325,269.793535
-161.79432,210,269.942403
11.254163,371,270.330921
-0.547779,224,272.065869
-9.81555,243,272.245994
-165.776073,215,272.412965
77.133626,1000,273.489969
-47.564547,284,273.718008
-153.410217,310,275.503672
-193.842398,325,275.827138
39.657784,189,275.961782
214.837848,542,276.553456
-72.218593,282,276.79779
-48.220615,256,277.029334
113.138325,1000,279.558383
169.546151,440,279.983147
243.969498,423,280.334231
14.495492,178,280.461889
-195.840976,338,280.767582
-165.927452,304,282.521962
139.895317,1000,283.562988
-10.357969,231,283.736007
-25.181545,249,283.932104
-259.563038,471,285.929886
134.769075,1000,287.16707
218.465333,473,287.660041
175.212666,638,289.923984
-144.201642,221,290.105987
209.738835,631,290.792809
185.944474,655,291.610621
108.118133,1000,294.349883
-5.827087,175,294.466948
211.443712,721,295.329884
11.880281,302,295.589794
-36.286374,238,297.254383
-43.509575,279,297.456844
273.028636,497,298.010006
101.235683,1000,299.501056
5.439594,236,299.701046
-185.953011,269,301.389795
197.006597,409,301.828119
13.838154,1000,303.048727
225.704708,733,305.565767
-9.495372,298,305.818607
-116.75188,209,305.965973
-208.715105,435,306.412073
-91.454665,398,306.770861
-52.598995,285,307.017959
207.718121,416,308.984803
-29.465671,304,309.241399
-218.73549,325,309.530273
-7.799082,317,309.81602
246.582726,499,310.38095
228.14559,444,312.40654
-192.127546,229,312.57441
276.068804,310,312.847169
16.655303,299,313.102449
193.527466,856,314.437645
227.177494,525,316.508509
-176.097363,296,316.760588
-195.830696,305,317.020545
-207.484343,354,317.368524
-25.620712,289,317.615568
-203.813846,266,317.831576
-72.762823,297,319.621044
8.264182,228,319.82412
232.104491,356,320.137049
-76.843081,366,320.512692
233.311067,444,320.955052
-33.973428,307,321.218925
-230.173813,426,323.175773
-212.592024,271,323.421667
-138.964017,297,323.732805
-165.536741,251,323.94424
240.974217,484,324.542978
-217.264629,281,324.771404
-60.454961,333,326.596177
39.123782,1000,328.383533
-268.962077,361,328.733546
-51.77929,369,329.095593
-27.775769,243,329.291553
-222.890559,345,331.079504
-0.937139,241,331.248508
-168.953808,294,331.496652
-208.49125,381,331.857621
-2.804779,239,332.048663
-209.509066,308,332.326566
-200.356742,287,334.101299
199.122663,515,334.749325
-238.695608,347,335.038242
262.274415,389,335.347047
-47.672937,376,335.717586
227.242906,493,337.649035
118.480556,1000,338.985126
257.214908,369,339.289203
-228.655018,282,339.526234
216.294332,445,341.494749
-208.821212,339,341.766305
287.525623,365,342.119367
-29.925194,238,342.300586
79.781353,1000,345.139687
-0.346759,243,345.331953
-183.05842,225,345.504038
-201.815509,244,345.686985
230.817422,618,346.311379
-183.785859,302,346.574942
-195.539987,287,346.841891
-42.805685,235,348.547964
210.556047,378,348.979914
-35.849601,337,349.280101
109.848454,1000,350.338979
-17.79472,304,352.116663
221.280269,513,352.754757
-184.933978,328,353.050852
-80.727903,337,353.355458
240.577426,474,353.901473
138.43923,1000,356.600553
208.561945,379,356.981553
-47.286922,374,357.32856
-259.477283,515,357.906114
113.211907,1000,361.271607
-64.520157,356,361.5826
-209.202386,258,361.793494
209.589966,479,362.238529
192.735967,533,364.43544
8.719147,316,364.754355
132.143171,1000,366.064951
247.650823,401,368.071942
-53.802857,315,368.361924
252.470139,417,368.790929
-200.149453,324,369.052929
176.427189,622,369.990921
174.517059,849,372.736842
-35.656903,372,373.103938
255.603754,517,373.625973
18.254882,246,373.807863
-28.340732,286,375.58161
-211.701216,378,375.968529
-264.760758,409,376.395481
-26.78122,242,376.589292
246.397886,925,377.984528
-24.9975,349,379.823414
5.679123,320,380.188441
245.82135,505,380.866167
158.565164,1000,383.643538
-188.03198,286,383.874646
-228.640144,342,384.177771
-55.839097,335,384.483574
186.084036,534,385.116808
245.011746,456,385.581575
205.629882,488,387.743645
-126.060359,267,387.974595
210.66941,446,388.475457
-226.482505,383,388.888482
161.454956,717,391.468474
-169.364693,302,391.74255
-245.163018,356,392.087538
173.176982,719,393.157776
-188.222953,304,393.38991
-180.184461,272,395.13755
-184.876918,316,395.43047
252.125151,439,395.89361
203.020447,497,396.443525
5.464853,235,396.626581
221.598672,471,398.651788
-220.026569,373,399.079204
248.683244,484,399.609987
203.762709,807,400.821864
-15.512976,266,401.04194
-48.317076,347,402.944995
-155.895032,745,404.080378
-187.3151,318,404.391371
264.138443,463,404.857273
9.904974,303,406.691489
9.406327,239,406.870345
-189.888591,316,407.158539
-158.083333,217,407.306145
217.327153,464,407.863514
-19.054501,362,408.197905
-16.043204,268,408.427945
-82.031603,516,410.559837
84.819316,1000,412.281013
186.464658,526,412.913009
24.676321,1000,415.839233
-11.838817,257,416.038316
-29.592516,245,416.228805
258.292728,412,416.565195
-270.265805,592,418.871016
236.505487,409,419.283281
202.077632,670,420.198944
116.150576,918,423.14449
-215.595568,413,423.583156
-52.349976,323,423.864908
-203.319563,339,424.138024
-185.767703,274,424.371065
159.05304,1000,426.92192
-200.987801,293,427.176588
296.839537,336,427.505484
-226.752479,314,427.807606
-199.075475,346,428.098491
4.997748,303,429.842034
-19.731553,301,430.094957
2.819371,244,430.289534
174.882277,481,430.794931
-199.546332,291,431.058547
-55.411198,478,431.626445
107.15065,1000,434.927238
113.359799,951,436.693954
-210.696953,466,438.725655
-81.705271,366,439.082456
144.415672,1000,440.075376
-21.562908,278,440.3216
-197.863411,303,442.093074
-210.427201,470,442.568816
148.935754,1000,443.607213
219.479308,431,444.085397
-105.58411,601,446.429011
220.218748,825,447.504969
280.785412,322,447.793378
131.954189,1000,450.691934
-86.195651,645,451.494896
-191.798387,370,451.837889
172.31927,406,453.724074
98.798001,1000,455.349828
45.837686,249,455.544037
25.397528,1000,458.636195
3.167415,274,458.872105
89.061075,1000,460.902636
21.745602,1000,463.906897
23.590777,230,464.091873
46.582502,1000,465.250225
-42.842561,1000,468.797535
202.127633,831,469.925163
105.923821,1000,473.018909
8.932801,254,473.220942
-195.98966,346,473.556939
-47.684439,338,473.864945
110.945578,1000,476.771457
-34.519698,317,477.074368
141.059269,1000,478.787249
-62.022211,287,479.034583
-36.764257,284,480.8843
41.694034,1000,482.619212
183.203593,456,483.096812
11.507185,1000,486.601405
-258.039863,946,488.005524
133.906829,1000,490.633351
-291.976823,762,491.553554
-173.107105,304,491.798324
101.116281,1000,495.284954
103.789814,1000,496.947899
-312.281508,698,499.271772
-103.465232,230,499.453314
-171.479857,324,499.762915
-165.563913,305,500.006938
-134.96059,297,500.251892
-14.461128,442,500.765133
-0.54647,260,500.97908
-164.593893,307,502.781342
-138.625526,339,503.073204
-197.701734,374,503.431047
-52.225179,1000,505.124243
14.841209,1000,508.258883
-174.056641,281,508.506936
-192.082212,320,508.787797
213.103827,892,511.458389
-162.205534,305,511.725381
-153.950886,216,511.887945
139.85481,1000,513.039871
-164.571845,340,514.883461
-20.431716,1000,516.456531
74.609047,1000,519.483552
-219.422037,277,519.726628
-120.027803,731,521.000905
126.945027,1000,523.758181
-36.252971,332,524.091024
-163.167341,1000,525.514742
224.349122,601,527.745961
-175.335797,276,527.965534
61.661715,1000,529.299993
-43.319694,353,529.627223
48.814359,1000,532.583203
-9.221764,1000,534.210274
-166.111463,998,537.662588
-232.902111,318,537.950572
266.183208,397,538.310587
-28.31739,246,538.510236
192.327343,803,541.173874
-18.812779,252,541.379324
181.275418,725,542.251898
242.407584,401,542.666878
95.826033,1000,545.531434
97.266335,1000,546.467016
267.836195,373,546.863751
4.400825,264,548.67636
-254.761644,599,549.38791
-51.773897,316,549.657222
169.006843,718,550.528952
-31.16214,327,552.311615
237.355681,538,553.010499
-226.525169,354,553.385223
225.318627,515,553.937231
-9.678148,363,554.247086
236.75695,376,556.07085
197.630662,506,556.596529
-35.60057,391,556.97851
-222.150285,369,557.348523
184.494715,369,557.667525
251.636535,327,559.564512
-1.086164,240,559.754634
-187.204398,257,559.991552
-92.668307,438,560.464595
6.356227,248,560.678484
245.955112,425,561.06655
187.363287,440,563.077246
-25.462115,301,563.362057
-163.341207,306,563.635998
-221.70497,401,564.062512
-178.978867,242,564.256963
239.452716,366,564.645425
-43.415989,317,564.932678
-64.923021,390,566.845985
-195.441888,349,567.162657
240.843903,748,568.415881
103.268305,1000,570.777808
32.476419,241,570.961886
-165.655421,243,571.152912
-183.102514,295,571.403841
-5.503301,256,571.60287
250.61639,423,572.028216
-28.236842,307,573.943517
252.396665,349,574.242814
-9.401496,251,574.439557
249.892402,403,574.857449
196.573135,505,575.419889
132.432898,1000,578.092503
-55.022574,301,578.365499
244.782026,386,578.80612
-182.458769,220,578.998591
-238.720994,468,579.551343
227.406923,466,581.514518
-160.912467,261,581.746896
287.325965,351,582.100676
287.691885,362,582.469669
249.72702,320,582.742511
-117.712435,248,582.950929
257.480055,358,584.858142
-203.742729,349,585.147366
-234.493656,322,585.447229
-159.302721,296,585.694227
